session_id,device_type,mouse_movement,touch_events,keyboard_events,click_events,scroll_events,time_on_page,screen_size,browser_info,language,timezone_offset,device_orientation,device_motion,geolocation_city,ip_cluster,anomaly_score,label
session_612,Mobile,4,4,6,8,13,40,360x640,Edge,fr-FR,-2,portrait,1.66,Unknown,ClusterA,0.354,0
session_613,PC,2,6,10,9,11,10,1920x1080,Firefox,en-GB,-2,none,1.36,Delhi,ClusterA,0.347,0
session_614,Mobile,5,6,9,1,15,67,1440x900,Safari,fr-FR,12,portrait,1.19,Unknown,ClusterC,0.397,0
session_615,PC,4,3,7,5,9,100,1440x900,Edge,hi-IN,-6,none,0.23,Delhi,ClusterC,0.346,0
session_616,Mobile,7,1,7,5,15,100,414x896,Firefox,en-US,-9,portrait,1.03,Chennai,ClusterB,0.343,0
session_617,Mobile,8,3,6,2,9,19,1366x768,Chrome,hi-IN,11,none,0.46,Chennai,ClusterC,0.093,0
session_618,Mobile,5,2,4,2,6,75,1366x768,Firefox,en-US,-5,portrait,0.89,Unknown,ClusterB,0.154,0
session_619,Mobile,4,2,11,4,4,16,1920x1080,Edge,fr-FR,2,none,0.91,Delhi,ClusterA,0.694,0
session_620,Mobile,6,0,7,1,10,36,1920x1080,Edge,hi-IN,0,none,0.63,Chennai,ClusterC,0.187,0
session_621,Mobile,3,6,14,8,5,34,1920x1080,Safari,en-US,14,landscape,1.62,Mumbai,ClusterB,0.143,0
session_622,Mobile,4,2,9,5,7,40,360x640,Firefox,fr-FR,9,portrait,1.38,Bangalore,ClusterC,0.405,0
session_623,Mobile,6,4,6,6,4,27,414x896,Firefox,fr-FR,4,none,0.76,Unknown,ClusterC,0.202,0
session_624,PC,3,1,12,5,1,3,1920x1080,Safari,hi-IN,-5,portrait,0.63,Bangalore,ClusterB,0.334,0
session_625,PC,5,1,9,5,0,33,1366x768,Safari,en-US,-5,landscape,0.52,Delhi,ClusterA,0.413,0
session_626,Mobile,12,3,7,1,16,2,1366x768,Edge,fr-FR,14,landscape,1.13,Mumbai,ClusterB,0.236,0
session_627,PC,4,3,9,7,19,26,360x640,Chrome,hi-IN,9,landscape,1.01,Delhi,ClusterC,0.208,0
session_628,PC,15,1,6,2,2,37,1920x1080,Safari,en-GB,4,landscape,0.48,Unknown,ClusterC,0.455,0
session_629,PC,6,3,7,6,1,212,1440x900,Edge,en-US,-2,portrait,0.19,Delhi,ClusterB,0.261,0
session_630,PC,4,4,8,5,19,1,1366x768,Safari,fr-FR,5,portrait,1.59,Unknown,ClusterA,0.262,0
session_631,PC,4,2,4,8,12,1,1366x768,Edge,hi-IN,-7,landscape,0.87,Mumbai,ClusterB,0.589,0
session_632,PC,4,4,2,2,6,0,1920x1080,Chrome,en-US,3,landscape,0.91,Bangalore,ClusterB,0.262,0
session_633,PC,7,6,6,6,3,12,1366x768,Chrome,en-GB,11,none,1.48,Unknown,ClusterB,0.278,0
session_634,Mobile,4,2,10,9,17,43,1366x768,Chrome,fr-FR,5,none,0.62,Delhi,ClusterA,0.013,0
session_635,Mobile,1,4,4,3,13,71,1440x900,Edge,en-US,11,landscape,0.64,Kolkata,ClusterA,0.314,0
session_636,PC,4,2,3,2,2,57,1920x1080,Edge,hi-IN,-10,landscape,0.41,Delhi,ClusterA,0.122,0
session_637,Mobile,3,5,3,8,3,43,1440x900,Edge,fr-FR,8,none,1.48,Mumbai,ClusterB,0.992,1
session_638,Mobile,6,1,4,9,3,38,414x896,Safari,en-GB,-12,portrait,0.48,Unknown,ClusterC,0.579,0
session_639,PC,3,4,5,6,12,57,1366x768,Firefox,en-US,-1,landscape,1.06,Bangalore,ClusterA,0.346,0
session_640,Mobile,5,2,5,1,15,73,414x896,Safari,en-US,-2,portrait,0.57,Unknown,ClusterB,0.092,0
session_641,Mobile,8,2,5,7,8,49,1440x900,Firefox,fr-FR,4,none,1.07,Kolkata,ClusterA,0.304,0
session_642,Mobile,3,1,7,1,13,15,1440x900,Safari,hi-IN,8,none,1.41,Delhi,ClusterB,0.32,0
session_643,Mobile,3,1,11,9,0,78,414x896,Safari,hi-IN,4,landscape,1.96,Chennai,ClusterA,0.376,0
session_644,Mobile,5,2,5,5,9,1,1440x900,Chrome,hi-IN,0,none,1.17,Unknown,ClusterB,0.257,0
session_645,PC,7,0,5,3,19,20,414x896,Safari,en-US,-11,none,1.45,Bangalore,ClusterA,0.249,0
session_646,Mobile,6,4,5,9,13,38,360x640,Chrome,hi-IN,-5,landscape,1.31,Unknown,ClusterC,0.485,0
session_647,PC,7,4,6,5,3,10,1366x768,Chrome,fr-FR,-6,landscape,1.55,Mumbai,ClusterB,0.194,0
session_648,Mobile,6,4,5,1,14,18,414x896,Edge,fr-FR,-10,portrait,0.49,Delhi,ClusterA,0.091,0
session_649,Mobile,3,1,7,8,4,28,1920x1080,Chrome,hi-IN,14,none,1.1,Kolkata,ClusterA,0.38,0
session_650,Mobile,3,2,5,4,10,152,1440x900,Firefox,en-US,7,none,1.6,Chennai,ClusterA,0.337,0
session_651,Mobile,6,3,7,8,5,151,414x896,Edge,fr-FR,-5,none,2.08,Bangalore,ClusterB,0.456,0
session_652,PC,5,5,4,7,2,85,360x640,Safari,en-GB,-1,none,0.43,Chennai,ClusterB,0.079,0
session_653,PC,7,1,6,5,12,7,360x640,Safari,hi-IN,4,portrait,0.33,Kolkata,ClusterC,0.2,0
session_654,PC,3,1,5,9,14,113,1440x900,Chrome,en-US,-1,none,1.49,Bangalore,ClusterA,0.155,0
session_655,Mobile,6,2,9,1,12,73,1920x1080,Firefox,fr-FR,-3,none,1.4,Delhi,ClusterC,0.193,0
session_656,PC,7,8,3,4,15,44,1366x768,Chrome,en-GB,1,landscape,1.23,Unknown,ClusterC,0.294,0
session_657,PC,4,5,6,3,7,20,1366x768,Edge,hi-IN,9,landscape,0.62,Mumbai,ClusterA,0.34,0
session_658,Mobile,3,3,6,3,16,7,414x896,Safari,hi-IN,-4,none,0.76,Chennai,ClusterC,0.16,0
session_659,PC,5,3,5,9,5,86,414x896,Safari,en-GB,0,portrait,0.59,Unknown,ClusterA,0.262,0
session_660,PC,2,2,5,6,5,20,414x896,Firefox,hi-IN,11,none,1.38,Chennai,ClusterC,0.439,0
session_661,Mobile,5,3,8,5,15,21,360x640,Chrome,hi-IN,5,none,0.78,Chennai,ClusterC,0.475,0
session_662,Mobile,9,2,4,2,19,17,414x896,Safari,en-US,-5,none,0.53,Unknown,ClusterC,0.282,0
session_663,PC,2,4,5,4,10,53,1440x900,Firefox,fr-FR,7,portrait,1.26,Mumbai,ClusterC,0.257,0
session_664,Mobile,4,2,9,8,13,55,1920x1080,Safari,hi-IN,0,portrait,1.12,Kolkata,ClusterC,0.333,0
session_665,PC,6,3,9,5,17,1,414x896,Firefox,en-US,-1,none,0.49,Bangalore,ClusterC,0.47,0
session_666,Mobile,4,3,4,5,18,72,1440x900,Firefox,en-GB,-5,none,-0.24,Mumbai,ClusterB,0.064,0
session_667,Mobile,2,5,9,6,1,24,1440x900,Safari,en-US,14,none,1.12,Mumbai,ClusterB,0.049,0
session_668,Mobile,7,4,4,8,16,45,1366x768,Safari,en-US,1,portrait,1.47,Mumbai,ClusterA,0.145,0
session_669,PC,3,3,10,1,16,18,1366x768,Safari,en-US,8,landscape,1.45,Bangalore,ClusterB,0.414,0
session_670,Mobile,7,6,7,7,4,4,360x640,Firefox,en-GB,4,none,0.87,Unknown,ClusterB,0.236,0
session_671,Mobile,3,4,6,5,6,45,1920x1080,Firefox,en-GB,1,landscape,1.02,Bangalore,ClusterB,0.223,0
session_672,Mobile,4,4,8,9,17,3,1440x900,Edge,hi-IN,13,none,0.25,Bangalore,ClusterA,0.609,0
session_673,PC,4,2,8,5,6,119,414x896,Edge,fr-FR,-11,none,0.73,Bangalore,ClusterB,0.585,0
session_674,Mobile,5,5,9,4,5,153,1366x768,Firefox,en-US,-10,landscape,0.81,Mumbai,ClusterB,0.076,0
session_675,PC,3,3,2,2,19,64,1366x768,Firefox,en-US,1,portrait,0.85,Delhi,ClusterB,0.086,0
session_676,Mobile,4,3,5,6,17,48,1366x768,Chrome,en-GB,-2,landscape,0.92,Bangalore,ClusterC,0.129,0
session_677,PC,4,7,7,8,2,50,1440x900,Chrome,en-GB,10,none,0.03,Kolkata,ClusterB,0.515,0
session_678,Mobile,6,5,8,3,6,54,1366x768,Chrome,en-GB,3,portrait,1.31,Unknown,ClusterC,0.211,0
session_679,PC,6,3,8,1,8,49,1920x1080,Edge,en-GB,-10,none,1.01,Chennai,ClusterA,0.564,0
session_680,PC,2,0,10,3,15,19,414x896,Edge,hi-IN,8,portrait,0.74,Mumbai,ClusterA,0.158,0
session_681,PC,4,4,3,8,14,38,414x896,Firefox,hi-IN,-1,landscape,1.53,Kolkata,ClusterC,0.061,0
session_682,PC,2,6,8,7,9,94,1366x768,Firefox,fr-FR,3,portrait,1.65,Unknown,ClusterB,0.139,0
session_683,PC,2,5,11,5,15,38,1440x900,Safari,fr-FR,0,portrait,0.83,Unknown,ClusterB,0.352,0
session_684,Mobile,3,4,4,8,0,21,414x896,Firefox,hi-IN,-9,portrait,0.87,Unknown,ClusterB,0.329,0
session_685,Mobile,11,1,10,1,17,65,360x640,Safari,fr-FR,10,landscape,1.28,Bangalore,ClusterC,0.641,0
session_686,PC,4,3,10,2,0,66,414x896,Firefox,hi-IN,-4,landscape,1.71,Unknown,ClusterC,0.104,0
session_687,PC,6,2,5,1,16,1,414x896,Edge,fr-FR,-11,none,0.46,Mumbai,ClusterC,0.257,0
session_688,Mobile,5,2,6,7,3,41,1920x1080,Safari,fr-FR,5,none,0.8,Delhi,ClusterA,0.009,0
session_689,PC,6,3,6,8,11,31,1920x1080,Safari,hi-IN,-11,portrait,0.95,Mumbai,ClusterA,0.314,0
session_690,PC,5,4,4,4,9,25,360x640,Firefox,fr-FR,10,landscape,1.4,Unknown,ClusterB,0.192,0
session_691,Mobile,5,2,5,3,10,76,360x640,Chrome,en-GB,9,none,1.77,Kolkata,ClusterB,0.199,0
session_692,Mobile,5,5,7,4,4,78,1920x1080,Edge,en-GB,-3,none,0.6,Kolkata,ClusterA,0.156,0
session_693,PC,2,3,7,5,14,45,414x896,Chrome,fr-FR,-12,portrait,0.45,Delhi,ClusterA,0.129,0
session_694,PC,6,3,4,6,3,32,414x896,Chrome,en-GB,-9,landscape,0.52,Delhi,ClusterB,0.118,0
session_695,Mobile,7,4,7,8,9,12,414x896,Chrome,en-US,-1,portrait,0.36,Kolkata,ClusterB,0.201,0
session_696,Mobile,4,3,8,9,11,19,1366x768,Safari,en-US,9,landscape,0.33,Unknown,ClusterB,0.597,0
session_697,Mobile,5,6,6,2,5,188,360x640,Firefox,hi-IN,-1,portrait,0.87,Unknown,ClusterC,0.224,0
session_698,Mobile,4,3,10,6,16,3,1366x768,Edge,en-US,-3,none,1.12,Delhi,ClusterB,0.191,0
session_699,Mobile,5,4,6,6,3,32,1440x900,Edge,en-GB,-2,portrait,0.81,Chennai,ClusterA,0.54,0
session_700,PC,3,2,6,6,14,71,1920x1080,Chrome,fr-FR,-3,landscape,0.77,Kolkata,ClusterC,0.136,0
session_701,PC,7,2,10,5,19,142,1366x768,Firefox,en-GB,2,landscape,1.19,Bangalore,ClusterB,0.523,0
session_702,Mobile,4,4,6,6,6,26,1440x900,Firefox,en-GB,0,portrait,0.79,Chennai,ClusterC,0.589,0
session_703,PC,3,4,7,6,13,127,1440x900,Chrome,en-GB,-5,landscape,0.9,Mumbai,ClusterC,0.293,0
session_704,Mobile,8,2,6,3,9,35,1366x768,Edge,en-US,-2,none,1.26,Mumbai,ClusterB,0.372,0
session_705,Mobile,5,1,8,8,15,30,414x896,Edge,hi-IN,2,portrait,-0.2,Kolkata,ClusterA,0.207,0
session_706,Mobile,4,0,4,9,1,15,1920x1080,Firefox,hi-IN,11,landscape,1.59,Delhi,ClusterA,0.18,0
session_707,Mobile,5,6,4,2,10,19,1366x768,Firefox,en-US,9,none,1.15,Chennai,ClusterA,0.519,0
session_708,PC,1,2,8,1,13,37,1920x1080,Edge,fr-FR,9,none,0.9,Kolkata,ClusterC,0.172,0
session_709,PC,6,5,8,2,10,86,360x640,Firefox,en-US,-3,none,1.33,Unknown,ClusterA,0.369,0
session_710,Mobile,6,3,6,3,1,32,1366x768,Safari,hi-IN,-3,none,1.17,Mumbai,ClusterB,0.388,0
session_711,PC,6,0,7,4,16,29,1440x900,Firefox,hi-IN,5,landscape,0.62,Bangalore,ClusterA,0.216,0
session_712,Mobile,11,1,9,7,17,84,1366x768,Chrome,fr-FR,-5,portrait,0.92,Chennai,ClusterA,0.318,0
session_713,PC,7,1,5,6,8,35,360x640,Chrome,fr-FR,-12,portrait,1.54,Kolkata,ClusterA,0.449,0
session_714,PC,4,1,8,4,2,72,1440x900,Safari,fr-FR,4,none,0.69,Mumbai,ClusterB,0.501,0
session_715,Mobile,3,2,7,9,4,3,1440x900,Chrome,hi-IN,6,portrait,2.59,Bangalore,ClusterC,0.89,1
session_716,Mobile,6,1,6,3,17,51,1366x768,Chrome,hi-IN,10,none,0.95,Kolkata,ClusterA,0.344,0
session_717,PC,9,1,8,7,13,89,1440x900,Edge,en-US,-5,landscape,0.93,Delhi,ClusterB,0.054,0
session_718,Mobile,7,3,6,2,10,180,1440x900,Firefox,en-GB,8,portrait,1.62,Bangalore,ClusterB,0.424,0
session_719,PC,6,3,9,7,7,102,1440x900,Chrome,hi-IN,-10,landscape,1.06,Chennai,ClusterB,0.513,0
session_720,PC,4,3,5,5,19,67,360x640,Safari,hi-IN,-12,portrait,1.29,Bangalore,ClusterA,0.15,0
session_721,Mobile,5,1,7,9,7,125,414x896,Chrome,en-US,-10,landscape,1.06,Delhi,ClusterA,0.144,0
session_722,PC,8,2,5,9,19,181,1366x768,Firefox,en-US,-4,none,0.83,Bangalore,ClusterA,0.927,1
session_723,Mobile,3,3,6,2,1,40,1440x900,Chrome,hi-IN,7,none,1.14,Kolkata,ClusterB,0.266,0
session_724,Mobile,8,5,7,4,7,68,1920x1080,Firefox,fr-FR,0,landscape,0.16,Kolkata,ClusterC,0.58,0
session_725,Mobile,6,5,12,4,9,48,1440x900,Edge,hi-IN,1,portrait,1.84,Delhi,ClusterB,0.17,0
session_726,Mobile,7,2,5,3,7,4,1366x768,Chrome,fr-FR,3,portrait,1.54,Unknown,ClusterA,0.217,0
session_727,Mobile,5,2,10,8,10,9,1920x1080,Edge,en-GB,10,none,1.45,Chennai,ClusterC,0.262,0
session_728,Mobile,3,6,6,1,16,25,1366x768,Edge,en-GB,-6,portrait,1.03,Chennai,ClusterA,0.093,0
session_729,PC,4,2,3,1,2,19,414x896,Chrome,en-US,12,portrait,1.59,Chennai,ClusterC,0.231,0
session_730,PC,4,4,8,2,19,91,414x896,Firefox,hi-IN,-8,landscape,0.97,Delhi,ClusterB,0.314,0
session_731,Mobile,3,4,8,4,8,51,1366x768,Edge,fr-FR,6,landscape,0.63,Unknown,ClusterC,0.278,0
session_732,PC,6,4,10,8,19,59,1366x768,Firefox,fr-FR,7,none,1.21,Unknown,ClusterC,0.313,0
session_733,Mobile,6,1,1,6,5,12,360x640,Firefox,en-GB,-3,none,1.52,Chennai,ClusterC,0.257,0
session_734,PC,1,5,6,3,11,0,1440x900,Firefox,en-US,-12,landscape,0.86,Delhi,ClusterC,0.171,0
session_735,PC,2,5,10,1,11,5,1920x1080,Safari,en-US,14,landscape,1.4,Kolkata,ClusterA,0.459,0
session_736,Mobile,5,7,10,6,2,29,414x896,Edge,fr-FR,8,portrait,1.45,Bangalore,ClusterC,0.275,0
session_737,Mobile,3,3,7,5,17,81,360x640,Edge,fr-FR,2,portrait,-0.19,Delhi,ClusterB,0.15,0
session_738,PC,3,2,7,2,13,17,360x640,Safari,en-US,12,landscape,1.42,Bangalore,ClusterC,0.229,0
session_739,Mobile,1,3,3,4,7,37,1366x768,Chrome,fr-FR,0,landscape,1.14,Kolkata,ClusterB,0.91,1
session_740,PC,7,7,5,5,14,80,1440x900,Firefox,en-GB,4,none,1.15,Chennai,ClusterC,0.188,0
session_741,Mobile,6,2,8,8,5,118,1920x1080,Edge,fr-FR,-2,portrait,1.62,Bangalore,ClusterA,0.08,0
session_742,Mobile,3,3,12,8,3,0,1920x1080,Edge,en-US,8,portrait,1.19,Kolkata,ClusterC,0.123,0
session_743,PC,4,4,5,9,4,71,1366x768,Chrome,fr-FR,-10,none,0.52,Chennai,ClusterA,0.252,0
session_744,Mobile,4,3,13,8,19,30,1366x768,Firefox,fr-FR,-9,landscape,1.23,Delhi,ClusterA,0.215,0
session_745,Mobile,6,3,10,3,17,58,1920x1080,Safari,en-GB,6,none,0.8,Mumbai,ClusterC,0.04,0
session_746,PC,5,2,9,8,7,32,1920x1080,Safari,hi-IN,0,landscape,1.05,Mumbai,ClusterA,0.263,0
session_747,PC,4,2,6,3,10,83,414x896,Safari,fr-FR,6,none,0.56,Bangalore,ClusterB,0.301,0
session_748,Mobile,3,5,11,6,8,65,360x640,Safari,hi-IN,-5,portrait,0.46,Mumbai,ClusterB,0.263,0
session_749,PC,5,1,9,9,12,118,414x896,Edge,en-GB,8,landscape,0.57,Delhi,ClusterA,0.161,0
session_750,PC,4,5,8,6,11,9,360x640,Chrome,fr-FR,13,landscape,0.93,Delhi,ClusterA,0.636,0
session_751,PC,2,3,6,9,15,57,1366x768,Safari,en-US,-10,landscape,1.7,Bangalore,ClusterA,0.129,0
session_752,PC,5,2,5,9,12,23,1366x768,Edge,fr-FR,13,portrait,1.23,Mumbai,ClusterB,0.049,0
session_753,Mobile,4,3,3,6,12,8,1366x768,Safari,fr-FR,-7,landscape,0.9,Delhi,ClusterC,0.133,0
session_754,PC,4,4,7,7,3,1,360x640,Safari,en-US,-10,none,1.6,Unknown,ClusterC,0.235,0
session_755,PC,6,3,5,6,5,26,1366x768,Safari,en-GB,7,landscape,1.52,Bangalore,ClusterA,0.137,0
session_756,PC,4,3,11,1,10,27,1920x1080,Chrome,en-GB,8,landscape,1.46,Unknown,ClusterB,0.411,0
session_757,PC,5,7,5,5,15,183,360x640,Firefox,en-GB,-3,portrait,1.25,Delhi,ClusterA,0.269,0
session_758,PC,5,0,4,1,16,13,1440x900,Safari,hi-IN,-12,landscape,1.55,Mumbai,ClusterC,0.958,1
session_759,PC,5,1,6,4,14,126,1920x1080,Edge,en-US,-10,landscape,-0.08,Chennai,ClusterC,0.496,0
session_760,Mobile,5,4,10,8,9,26,1366x768,Firefox,en-US,-10,landscape,1.16,Chennai,ClusterA,0.425,0
session_761,PC,6,2,13,9,9,84,1366x768,Safari,fr-FR,12,portrait,0.39,Mumbai,ClusterA,0.282,0
session_762,Mobile,6,3,8,2,18,14,1366x768,Chrome,fr-FR,14,landscape,-0.31,Unknown,ClusterA,0.575,0
session_763,Mobile,3,7,12,8,8,81,1440x900,Chrome,hi-IN,6,landscape,0.81,Chennai,ClusterC,0.099,0
session_764,PC,8,0,3,2,4,23,1366x768,Edge,hi-IN,12,portrait,0.71,Bangalore,ClusterC,0.429,0
session_765,Mobile,6,0,8,2,19,121,1366x768,Safari,fr-FR,11,portrait,1.16,Unknown,ClusterC,0.219,0
session_766,Mobile,1,1,11,6,11,152,1920x1080,Firefox,en-US,10,none,1.16,Mumbai,ClusterA,0.458,0
session_767,PC,8,9,8,2,18,122,1366x768,Chrome,hi-IN,9,landscape,1.58,Bangalore,ClusterA,0.289,0
session_768,PC,6,1,9,6,8,45,1366x768,Edge,hi-IN,-8,none,0.18,Mumbai,ClusterC,0.62,0
session_769,PC,2,3,4,4,0,10,360x640,Firefox,en-GB,9,landscape,0.15,Kolkata,ClusterA,0.115,0
session_770,Mobile,7,3,4,7,0,24,414x896,Edge,fr-FR,7,landscape,1.28,Mumbai,ClusterA,0.017,0
session_771,Mobile,6,1,8,3,15,144,1920x1080,Firefox,hi-IN,0,landscape,1.14,Bangalore,ClusterB,0.053,0
session_772,Mobile,10,5,2,2,12,124,1366x768,Edge,en-GB,-3,none,0.76,Kolkata,ClusterA,0.602,0
session_773,Mobile,9,3,4,5,19,44,1366x768,Chrome,hi-IN,1,landscape,1.45,Mumbai,ClusterC,0.045,0
session_774,PC,0,5,11,5,12,35,360x640,Firefox,en-US,-11,landscape,1.45,Bangalore,ClusterB,0.056,0
session_775,PC,3,3,6,5,4,112,1920x1080,Firefox,en-GB,12,portrait,1.24,Delhi,ClusterC,0.528,0
session_776,PC,6,3,8,6,6,43,1920x1080,Edge,en-GB,12,none,1.47,Kolkata,ClusterC,0.157,0
session_777,Mobile,6,1,8,1,5,23,1366x768,Chrome,hi-IN,13,portrait,1.39,Chennai,ClusterC,0.121,0
session_778,Mobile,3,2,8,9,16,72,1440x900,Chrome,en-GB,10,landscape,0.97,Mumbai,ClusterB,0.166,0
session_779,PC,3,5,14,8,19,33,1920x1080,Firefox,en-GB,6,portrait,0.76,Mumbai,ClusterA,0.333,0
session_780,Mobile,1,3,4,4,15,81,1920x1080,Firefox,en-GB,8,none,0.36,Kolkata,ClusterB,0.34,0
session_781,PC,0,0,6,4,5,33,1440x900,Firefox,en-GB,9,landscape,1.09,Chennai,ClusterC,0.352,0
session_782,PC,4,3,4,3,0,29,1440x900,Firefox,en-GB,8,landscape,1.43,Kolkata,ClusterB,0.054,0
session_783,Mobile,5,2,11,3,11,129,414x896,Firefox,fr-FR,-2,none,1.18,Kolkata,ClusterA,0.269,0
session_784,Mobile,3,5,6,7,12,63,360x640,Safari,en-GB,-10,none,0.88,Kolkata,ClusterC,0.648,0
session_785,PC,7,3,2,8,16,9,1920x1080,Edge,fr-FR,2,portrait,0.51,Bangalore,ClusterB,0.149,0
session_786,PC,4,4,7,6,2,51,414x896,Chrome,hi-IN,5,none,0.74,Kolkata,ClusterB,0.197,0
session_787,Mobile,7,6,7,3,10,12,1920x1080,Chrome,fr-FR,-12,landscape,0.91,Kolkata,ClusterC,0.535,0
session_788,Mobile,5,7,7,4,4,10,1440x900,Edge,en-GB,-2,portrait,1.14,Mumbai,ClusterA,0.192,0
session_789,Mobile,3,3,6,6,11,8,414x896,Chrome,hi-IN,14,landscape,1.51,Delhi,ClusterB,0.34,0
session_790,PC,7,6,5,8,16,85,1920x1080,Safari,fr-FR,5,portrait,1.18,Delhi,ClusterB,0.253,0
session_791,PC,8,0,4,2,10,32,1440x900,Firefox,hi-IN,-3,portrait,0.69,Unknown,ClusterC,0.87,1
session_792,Mobile,4,2,6,5,9,36,360x640,Firefox,fr-FR,3,portrait,0.64,Delhi,ClusterB,0.045,0
session_793,PC,8,5,7,7,18,88,1920x1080,Chrome,en-GB,-6,landscape,0.63,Mumbai,ClusterA,0.13,0
session_794,Mobile,3,7,5,2,3,40,1440x900,Firefox,fr-FR,-12,portrait,0.44,Bangalore,ClusterA,0.483,0
session_795,PC,8,1,8,8,5,111,360x640,Safari,hi-IN,14,none,1.58,Mumbai,ClusterB,0.125,0
session_796,Mobile,3,5,6,6,19,9,1920x1080,Safari,en-US,0,portrait,1.92,Bangalore,ClusterA,0.291,0
session_797,PC,5,4,5,4,15,29,1440x900,Firefox,fr-FR,-5,landscape,1.17,Kolkata,ClusterB,0.29,0
session_798,Mobile,5,2,9,7,16,16,1366x768,Chrome,en-GB,-9,none,0.82,Unknown,ClusterA,0.293,0
session_799,Mobile,0,4,7,5,0,12,360x640,Edge,en-GB,-4,none,1.29,Delhi,ClusterB,0.339,0
session_800,PC,10,4,9,8,1,34,1920x1080,Firefox,fr-FR,6,landscape,0.67,Chennai,ClusterC,0.312,0
session_801,PC,10,3,13,1,19,77,1440x900,Chrome,hi-IN,9,none,0.51,Mumbai,ClusterA,0.988,1
session_802,PC,6,3,6,3,5,13,360x640,Chrome,en-US,3,landscape,0.09,Unknown,ClusterC,0.186,0
session_803,Mobile,5,3,8,3,16,28,1366x768,Chrome,en-US,11,none,0.47,Kolkata,ClusterC,0.284,0
session_804,PC,2,3,7,9,14,38,360x640,Edge,en-GB,10,landscape,2.62,Bangalore,ClusterB,0.175,0
session_805,Mobile,5,5,9,2,1,34,1440x900,Safari,hi-IN,5,none,1.27,Delhi,ClusterB,0.353,0
session_806,Mobile,7,2,9,3,9,38,1920x1080,Edge,en-GB,-12,landscape,1.19,Chennai,ClusterA,0.498,0
session_807,PC,5,4,10,6,11,70,360x640,Safari,en-GB,-2,portrait,1.7,Bangalore,ClusterB,0.216,0
session_808,Mobile,5,2,9,1,3,5,360x640,Safari,fr-FR,9,none,0.88,Delhi,ClusterC,0.95,1
session_809,Mobile,6,0,4,6,0,13,1920x1080,Edge,fr-FR,7,none,1.08,Kolkata,ClusterA,0.787,0
session_810,PC,3,1,8,2,17,27,1440x900,Firefox,en-GB,10,none,0.97,Chennai,ClusterB,0.366,0
session_811,PC,6,1,13,6,15,16,1440x900,Safari,hi-IN,-1,landscape,-0.05,Kolkata,ClusterB,0.292,0
session_812,Mobile,6,1,6,5,11,55,1920x1080,Edge,hi-IN,1,portrait,1.11,Bangalore,ClusterA,0.41,0
session_813,Mobile,5,3,4,1,14,9,414x896,Edge,fr-FR,-8,landscape,0.65,Kolkata,ClusterB,0.379,0
session_814,Mobile,5,3,4,2,14,86,414x896,Safari,en-US,-7,landscape,1.16,Chennai,ClusterB,0.072,0
session_815,Mobile,4,1,14,6,8,6,360x640,Edge,fr-FR,-1,portrait,1.63,Mumbai,ClusterC,0.593,0
session_816,Mobile,4,3,4,9,16,38,414x896,Chrome,hi-IN,11,none,1.72,Kolkata,ClusterC,0.366,0
session_817,Mobile,7,6,8,8,10,13,360x640,Safari,en-GB,5,portrait,0.52,Bangalore,ClusterC,0.86,1
session_818,PC,4,4,4,8,10,151,1440x900,Edge,en-GB,-1,none,0.74,Kolkata,ClusterC,0.023,0
session_819,Mobile,7,4,9,7,8,80,1920x1080,Firefox,en-US,-7,portrait,1.28,Kolkata,ClusterB,0.243,0
session_820,Mobile,7,4,8,2,14,66,1920x1080,Safari,hi-IN,-1,none,1.39,Mumbai,ClusterC,0.295,0
session_821,Mobile,4,1,11,4,10,68,414x896,Chrome,hi-IN,-2,portrait,1.09,Mumbai,ClusterC,0.901,1
session_822,PC,0,5,9,3,11,16,1920x1080,Chrome,en-GB,-4,portrait,0.99,Unknown,ClusterA,0.197,0
session_823,Mobile,3,0,6,9,9,44,414x896,Safari,fr-FR,8,landscape,1.2,Bangalore,ClusterA,0.408,0
session_824,Mobile,7,3,14,4,3,6,1366x768,Firefox,en-US,-12,portrait,0.9,Kolkata,ClusterC,0.24,0
session_825,Mobile,8,1,8,2,7,42,1440x900,Firefox,fr-FR,-6,portrait,1.91,Kolkata,ClusterB,0.544,0
session_826,PC,3,0,4,8,1,60,360x640,Firefox,hi-IN,11,portrait,0.44,Mumbai,ClusterB,0.534,0
session_827,PC,5,2,3,8,13,30,1440x900,Safari,en-US,6,none,-0.24,Mumbai,ClusterA,0.296,0
session_828,Mobile,5,3,5,6,16,60,414x896,Firefox,en-GB,0,landscape,2.07,Bangalore,ClusterC,0.454,0
session_829,PC,5,3,10,5,11,230,1366x768,Edge,hi-IN,11,portrait,0.24,Chennai,ClusterB,0.223,0
session_830,PC,6,4,4,2,1,41,414x896,Firefox,en-US,9,none,0.55,Mumbai,ClusterA,0.218,0
session_831,Mobile,9,2,12,3,3,19,414x896,Chrome,hi-IN,-2,none,0.86,Bangalore,ClusterB,0.129,0
session_832,Mobile,3,9,5,3,4,47,1920x1080,Edge,en-US,1,portrait,0.73,Delhi,ClusterC,0.113,0
session_833,Mobile,4,2,6,1,16,10,414x896,Chrome,en-US,-8,landscape,0.36,Unknown,ClusterC,0.31,0
session_834,Mobile,7,4,9,7,10,40,1920x1080,Chrome,en-GB,-10,landscape,1.71,Kolkata,ClusterA,0.122,0
